TransactionID,ProductID,ProductName,Category,WarehouseID,SupplierID,Date,Quantity,UnitPrice,TotalValue,MovementType,StockLevel,ReorderPoint,SlowMoving
INV-0018,PRD-004,Brake Pad Set,Automotive,WH-002,SUP-006,2024-03-23,286,364.28,104184.07,Inbound,4956,265,Yes
INV-0019,PRD-008,Bubble Wrap Roll,Packaging,WH-001,SUP-002,2024-07-04,459,51.58,23677.45,Transfer,2011,129,Yes
INV-0020,PRD-004,Brake Pad Set,Automotive,WH-005,SUP-002,2024-02-13,384,326.88,125521.63,Inbound,4413,492,Yes
INV-0021,PRD-003,Corrugated Box L,Packaging,WH-002,SUP-008,2024-10-08,94,11.6,1089.95,Adjustment,1785,376,Yes
INV-0022,PRD-013,Stretch Film Roll,Packaging,WH-002,SUP-005,2024-07-23,353,69.06,24378.36,Adjustment,4289,331,Yes
INV-0023,PRD-002,Steel Rod 10mm,Raw Materials,WH-002,SUP-004,2024-02-02,183,76.95,14081.3,Outbound,4870,212,Yes
INV-0024,PRD-001,Microcontroller Board,Electronics,WH-001,SUP-001,2024-04-27,44,506.86,22301.83,Transfer,630,363,No
INV-0025,PRD-004,Brake Pad Set,Automotive,WH-003,SUP-008,2024-04-19,286,298.58,85395.3,Adjustment,2040,342,Yes
INV-0026,PRD-013,Stretch Film Roll,Packaging,WH-004,SUP-004,2024-02-18,59,69.21,4083.3,Transfer,3519,310,Yes
INV-0027,PRD-008,Bubble Wrap Roll,Packaging,WH-001,SUP-002,2024-02-01,216,48.69,10517.56,Inbound,2086,198,Yes
INV-0028,PRD-004,Brake Pad Set,Automotive,WH-005,SUP-008,2024-03-12,226,302.68,68405.46,Adjustment,2096,138,Yes
INV-0029,PRD-008,Bubble Wrap Roll,Packaging,WH-005,SUP-002,2024-01-26,343,51.74,17747.48,Inbound,814,485,No
INV-0030,PRD-014,Alternator 12V,Automotive,WH-002,SUP-003,2024-07-27,258,908.1,234290.38,Adjustment,530,184,No
INV-0031,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-001,SUP-007,2024-05-15,484,230.16,111399.23,Adjustment,2386,316,Yes
INV-0032,PRD-012,Copper Wire 100m,Raw Materials,WH-005,SUP-008,2024-03-20,107,379.93,40652.4,Inbound,4794,476,Yes
INV-0033,PRD-009,Engine Filter,Automotive,WH-001,SUP-006,2024-01-30,35,585.78,20502.47,Outbound,515,360,No
INV-0034,PRD-002,Steel Rod 10mm,Raw Materials,WH-002,SUP-002,2024-10-31,44,90.85,3997.32,Outbound,3357,161,Yes
INV-0035,PRD-015,Sugar 50kg,Perishables,WH-005,SUP-004,2024-10-23,314,118.29,37143.56,Inbound,3484,436,Yes
INV-0036,PRD-010,Rice Basmati 25kg,Perishables,WH-005,SUP-006,2024-05-13,114,117.42,13385.59,Transfer,2005,235,Yes
INV-0037,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-002,SUP-005,2024-08-22,171,237.77,40659.26,Inbound,126,334,No
INV-0038,PRD-010,Rice Basmati 25kg,Perishables,WH-005,SUP-002,2024-02-07,285,104.86,29885.6,Transfer,1135,278,Yes
INV-0039,PRD-015,Sugar 50kg,Perishables,WH-001,SUP-004,2024-07-08,155,122.13,18929.65,Transfer,4383,104,Yes
INV-0040,PRD-011,PCB Assembly,Electronics,WH-005,SUP-005,2024-12-05,63,1248.21,78636.96,Outbound,2216,159,Yes
INV-0041,PRD-015,Sugar 50kg,Perishables,WH-001,SUP-003,2024-05-19,154,136.66,21045.17,Transfer,1717,451,Yes
INV-0042,PRD-011,PCB Assembly,Electronics,WH-003,SUP-008,2024-05-08,473,1239.74,586398.79,Inbound,806,424,No
INV-0043,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-003,SUP-001,2024-01-02,180,229.48,41307.08,Transfer,1373,479,No
INV-0044,PRD-008,Bubble Wrap Roll,Packaging,WH-005,SUP-007,2024-10-14,14,41.76,584.62,Outbound,4519,118,Yes
INV-0045,PRD-014,Alternator 12V,Automotive,WH-003,SUP-003,2024-08-08,75,810.31,60773.02,Transfer,376,283,No
INV-0046,PRD-004,Brake Pad Set,Automotive,WH-002,SUP-002,2024-06-30,409,332.79,136111.39,Adjustment,1316,221,Yes
INV-0047,PRD-014,Alternator 12V,Automotive,WH-002,SUP-003,2024-07-30,22,840.91,18499.97,Transfer,3422,442,Yes
INV-0048,PRD-014,Alternator 12V,Automotive,WH-002,SUP-005,2024-03-22,413,957.03,395255.21,Adjustment,367,340,No
INV-0049,PRD-004,Brake Pad Set,Automotive,WH-002,SUP-008,2024-06-28,166,353.64,58704.72,Outbound,1876,112,Yes
INV-0050,PRD-011,PCB Assembly,Electronics,WH-002,SUP-007,2024-06-17,152,1227.7,186609.95,Transfer,2926,428,Yes
INV-0051,PRD-009,Engine Filter,Automotive,WH-004,SUP-006,2024-01-15,69,626.79,43248.19,Transfer,1512,397,Yes
INV-0052,PRD-005,Wheat Flour 50kg,Perishables,WH-001,SUP-002,2024-11-01,232,138.1,32038.98,Transfer,3624,410,Yes
INV-0053,PRD-009,Engine Filter,Automotive,WH-001,SUP-007,2024-10-22,107,539.66,57743.74,Adjustment,63,366,No
INV-0054,PRD-015,Sugar 50kg,Perishables,WH-005,SUP-004,2024-07-05,230,119.27,27433.05,Transfer,2621,439,Yes
INV-0055,PRD-014,Alternator 12V,Automotive,WH-001,SUP-005,2024-09-16,168,949.38,159496.46,Transfer,3346,456,Yes
INV-0056,PRD-005,Wheat Flour 50kg,Perishables,WH-005,SUP-003,2024-04-08,225,149.27,33586.32,Adjustment,1475,415,Yes
INV-0057,PRD-010,Rice Basmati 25kg,Perishables,WH-003,SUP-007,2024-10-07,436,99.01,43168.87,Transfer,1771,320,Yes
INV-0058,PRD-013,Stretch Film Roll,Packaging,WH-005,SUP-006,2024-08-26,236,65.69,15501.68,Outbound,4237,342,Yes
INV-0059,PRD-013,Stretch Film Roll,Packaging,WH-002,SUP-002,2024-05-25,273,69.29,18915.52,Transfer,815,484,No
INV-0060,PRD-004,Brake Pad Set,Automotive,WH-003,SUP-004,2024-04-11,85,289.95,24646.09,Outbound,3942,412,Yes
INV-0061,PRD-014,Alternator 12V,Automotive,WH-001,SUP-008,2024-07-31,463,941.12,435739.86,Outbound,3195,353,Yes
INV-0062,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-002,SUP-003,2024-12-01,362,189.29,68523.38,Inbound,3532,212,Yes
INV-0063,PRD-003,Corrugated Box L,Packaging,WH-005,SUP-008,2024-01-26,295,11.55,3406.54,Inbound,3789,168,Yes
INV-0064,PRD-013,Stretch Film Roll,Packaging,WH-004,SUP-006,2024-08-14,323,71.74,23173.27,Adjustment,4538,328,Yes
INV-0065,PRD-015,Sugar 50kg,Perishables,WH-002,SUP-008,2024-08-18,142,141.43,20083.45,Transfer,4320,348,Yes
INV-0066,PRD-011,PCB Assembly,Electronics,WH-002,SUP-005,2024-08-13,49,1186.22,58125.02,Outbound,2275,271,Yes
INV-0067,PRD-006,Sensor Module v2,Electronics,WH-005,SUP-002,2024-03-11,87,747.1,64997.35,Outbound,1802,132,Yes
INV-0068,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-004,SUP-006,2024-10-04,248,210.83,52285.38,Outbound,3491,299,Yes
INV-0069,PRD-015,Sugar 50kg,Perishables,WH-005,SUP-001,2024-10-21,204,132.5,27030.38,Transfer,2496,485,Yes
INV-0070,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-004,SUP-004,2024-09-06,122,203.33,24806.15,Adjustment,287,299,No
INV-0071,PRD-006,Sensor Module v2,Electronics,WH-004,SUP-003,2024-08-27,480,726.89,348905.96,Inbound,3277,403,Yes
INV-0072,PRD-010,Rice Basmati 25kg,Perishables,WH-001,SUP-002,2024-11-25,229,102.73,23525.57,Adjustment,1538,125,Yes
INV-0073,PRD-005,Wheat Flour 50kg,Perishables,WH-004,SUP-006,2024-04-18,242,137.44,33260.38,Adjustment,2329,485,Yes
INV-0074,PRD-014,Alternator 12V,Automotive,WH-004,SUP-005,2024-02-11,250,805.31,201328.2,Inbound,2916,214,Yes
INV-0075,PRD-011,PCB Assembly,Electronics,WH-001,SUP-001,2024-01-16,496,1058.0,524769.44,Inbound,1298,222,Yes
INV-0076,PRD-003,Corrugated Box L,Packaging,WH-004,SUP-002,2024-10-15,495,11.45,5669.68,Transfer,3071,185,Yes
INV-0077,PRD-010,Rice Basmati 25kg,Perishables,WH-005,SUP-002,2024-03-24,169,101.97,17233.39,Inbound,2605,394,Yes
INV-0078,PRD-011,PCB Assembly,Electronics,WH-004,SUP-007,2024-04-11,48,1152.83,55335.69,Outbound,884,456,No
INV-0079,PRD-013,Stretch Film Roll,Packaging,WH-003,SUP-002,2024-10-16,410,59.17,24258.62,Adjustment,3085,135,Yes
INV-0080,PRD-009,Engine Filter,Automotive,WH-003,SUP-001,2024-08-03,431,572.63,246802.77,Adjustment,3017,425,Yes
INV-0081,PRD-015,Sugar 50kg,Perishables,WH-004,SUP-003,2024-08-10,100,140.85,14084.83,Transfer,4458,496,Yes
INV-0082,PRD-008,Bubble Wrap Roll,Packaging,WH-004,SUP-007,2024-10-30,147,44.13,6486.51,Outbound,759,242,Yes
INV-0083,PRD-015,Sugar 50kg,Perishables,WH-004,SUP-004,2024-08-25,301,136.84,41187.57,Adjustment,2805,114,Yes
INV-0084,PRD-008,Bubble Wrap Roll,Packaging,WH-003,SUP-003,2024-09-06,118,44.49,5250.03,Transfer,2838,243,Yes
INV-0085,PRD-015,Sugar 50kg,Perishables,WH-005,SUP-005,2024-10-11,15,133.79,2006.86,Outbound,751,223,Yes
INV-0086,PRD-012,Copper Wire 100m,Raw Materials,WH-004,SUP-008,2024-10-11,398,374.43,149023.77,Adjustment,4070,329,Yes
INV-0087,PRD-013,Stretch Film Roll,Packaging,WH-001,SUP-002,2024-05-30,123,65.07,8003.8,Outbound,2558,439,Yes
INV-0088,PRD-010,Rice Basmati 25kg,Perishables,WH-003,SUP-008,2024-10-10,281,108.45,30475.39,Transfer,2932,459,Yes
INV-0089,PRD-008,Bubble Wrap Roll,Packaging,WH-003,SUP-005,2024-05-08,128,41.86,5357.74,Outbound,2634,161,Yes
INV-0090,PRD-012,Copper Wire 100m,Raw Materials,WH-005,SUP-003,2024-04-08,120,423.01,50761.67,Transfer,4879,489,Yes
INV-0091,PRD-009,Engine Filter,Automotive,WH-005,SUP-005,2024-02-21,436,531.18,231592.94,Outbound,3006,191,Yes
INV-0092,PRD-005,Wheat Flour 50kg,Perishables,WH-001,SUP-003,2024-05-20,33,160.1,5283.31,Transfer,1084,426,No
INV-0093,PRD-014,Alternator 12V,Automotive,WH-004,SUP-002,2024-01-07,303,864.27,261872.45,Adjustment,3658,274,Yes
INV-0094,PRD-003,Corrugated Box L,Packaging,WH-001,SUP-005,2024-09-01,68,13.27,902.11,Adjustment,4078,137,Yes
INV-0095,PRD-010,Rice Basmati 25kg,Perishables,WH-001,SUP-003,2024-03-17,425,114.48,48653.19,Transfer,747,227,Yes
INV-0096,PRD-002,Steel Rod 10mm,Raw Materials,WH-005,SUP-007,2024-11-06,315,93.3,29390.52,Outbound,4330,294,Yes
INV-0097,PRD-008,Bubble Wrap Roll,Packaging,WH-004,SUP-005,2024-10-28,229,43.94,10061.24,Inbound,862,490,No
INV-0098,PRD-004,Brake Pad Set,Automotive,WH-002,SUP-005,2024-12-04,51,300.56,15328.79,Outbound,4571,138,Yes
INV-0099,PRD-003,Corrugated Box L,Packaging,WH-001,SUP-007,2024-08-18,362,12.58,4554.48,Transfer,317,218,No
INV-0100,PRD-005,Wheat Flour 50kg,Perishables,WH-003,SUP-008,2024-02-06,361,134.17,48435.31,Transfer,4881,438,Yes
INV-0101,PRD-013,Stretch Film Roll,Packaging,WH-002,SUP-007,2024-02-28,288,62.15,17900.11,Outbound,2226,172,Yes
INV-0102,PRD-002,Steel Rod 10mm,Raw Materials,WH-001,SUP-003,2024-06-06,314,92.42,29018.42,Transfer,3647,163,Yes
INV-0103,PRD-008,Bubble Wrap Roll,Packaging,WH-003,SUP-007,2024-05-19,266,46.57,12388.89,Adjustment,708,406,No
INV-0104,PRD-001,Microcontroller Board,Electronics,WH-004,SUP-006,2024-11-05,138,407.91,56291.55,Outbound,4762,400,Yes
INV-0105,PRD-001,Microcontroller Board,Electronics,WH-003,SUP-001,2024-03-30,250,463.38,115845.86,Adjustment,2328,192,Yes
INV-0106,PRD-010,Rice Basmati 25kg,Perishables,WH-004,SUP-008,2024-02-16,250,108.57,27142.23,Transfer,2680,443,Yes
INV-0107,PRD-002,Steel Rod 10mm,Raw Materials,WH-002,SUP-006,2024-07-29,365,87.03,31765.48,Adjustment,4556,118,Yes
INV-0108,PRD-008,Bubble Wrap Roll,Packaging,WH-001,SUP-006,2024-05-09,175,41.8,7315.72,Adjustment,4265,100,Yes
INV-0109,PRD-011,PCB Assembly,Electronics,WH-005,SUP-008,2024-07-30,37,1041.59,38538.65,Transfer,4133,420,Yes
INV-0110,PRD-008,Bubble Wrap Roll,Packaging,WH-001,SUP-004,2024-05-16,291,41.97,12214.4,Transfer,3639,457,Yes
INV-0111,PRD-008,Bubble Wrap Roll,Packaging,WH-001,SUP-001,2024-11-18,321,49.49,15887.02,Outbound,2595,382,Yes
INV-0112,PRD-001,Microcontroller Board,Electronics,WH-005,SUP-007,2024-02-17,125,516.63,64578.62,Inbound,3830,160,Yes
INV-0113,PRD-011,PCB Assembly,Electronics,WH-002,SUP-008,2024-05-29,270,1183.99,319676.81,Adjustment,4002,341,Yes
INV-0114,PRD-004,Brake Pad Set,Automotive,WH-004,SUP-003,2024-07-15,107,361.75,38707.19,Outbound,621,241,No
INV-0115,PRD-013,Stretch Film Roll,Packaging,WH-004,SUP-006,2024-09-16,146,71.83,10487.75,Transfer,2495,400,Yes
INV-0116,PRD-010,Rice Basmati 25kg,Perishables,WH-004,SUP-003,2024-08-16,285,112.32,32011.03,Transfer,4571,490,Yes
INV-0117,PRD-009,Engine Filter,Automotive,WH-004,SUP-008,2024-06-13,455,530.41,241337.16,Outbound,4734,296,Yes
INV-0118,PRD-004,Brake Pad Set,Automotive,WH-004,SUP-001,2024-06-11,391,325.84,127402.7,Adjustment,3212,439,Yes
INV-0119,PRD-013,Stretch Film Roll,Packaging,WH-002,SUP-008,2024-01-19,74,66.66,4933.01,Transfer,872,325,No
INV-0120,PRD-002,Steel Rod 10mm,Raw Materials,WH-005,SUP-008,2024-01-08,379,79.56,30154.49,Outbound,662,340,No
INV-0121,PRD-013,Stretch Film Roll,Packaging,WH-003,SUP-006,2024-11-15,364,64.96,23645.11,Inbound,2741,445,Yes
INV-0122,PRD-014,Alternator 12V,Automotive,WH-005,SUP-007,2024-06-11,330,960.91,317101.83,Adjustment,4482,118,Yes
INV-0123,PRD-010,Rice Basmati 25kg,Perishables,WH-001,SUP-004,2024-11-19,360,124.33,44757.2,Outbound,790,322,No
INV-0124,PRD-002,Steel Rod 10mm,Raw Materials,WH-001,SUP-008,2024-03-26,365,82.86,30245.23,Inbound,426,266,No
INV-0125,PRD-013,Stretch Film Roll,Packaging,WH-001,SUP-005,2024-07-02,201,65.5,13165.23,Outbound,4401,310,Yes
INV-0126,PRD-010,Rice Basmati 25kg,Perishables,WH-002,SUP-003,2024-03-30,50,115.76,5788.05,Adjustment,2022,354,Yes
INV-0127,PRD-015,Sugar 50kg,Perishables,WH-005,SUP-003,2024-04-28,246,137.73,33882.05,Adjustment,2141,441,Yes
INV-0128,PRD-001,Microcontroller Board,Electronics,WH-004,SUP-005,2024-12-12,289,422.77,122181.18,Adjustment,2880,400,Yes
INV-0129,PRD-005,Wheat Flour 50kg,Perishables,WH-004,SUP-005,2024-08-21,442,136.57,60365.82,Adjustment,4008,154,Yes
INV-0130,PRD-004,Brake Pad Set,Automotive,WH-004,SUP-006,2024-10-21,161,367.42,59153.87,Transfer,229,437,No
INV-0131,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-003,SUP-001,2024-10-16,452,225.0,101702.02,Inbound,4119,246,Yes
INV-0132,PRD-013,Stretch Film Roll,Packaging,WH-002,SUP-006,2024-04-22,335,61.59,20632.53,Transfer,1170,421,No
INV-0133,PRD-002,Steel Rod 10mm,Raw Materials,WH-001,SUP-005,2024-08-13,27,88.82,2398.03,Outbound,788,251,Yes
INV-0134,PRD-006,Sensor Module v2,Electronics,WH-004,SUP-003,2024-04-12,77,855.37,65863.49,Transfer,4398,356,Yes
INV-0135,PRD-015,Sugar 50kg,Perishables,WH-003,SUP-003,2024-05-11,477,143.8,68593.75,Adjustment,2467,482,Yes
INV-0136,PRD-014,Alternator 12V,Automotive,WH-003,SUP-002,2024-08-27,48,832.32,39951.28,Outbound,3305,385,Yes
INV-0137,PRD-006,Sensor Module v2,Electronics,WH-001,SUP-007,2024-01-08,145,806.63,116961.58,Adjustment,3069,444,Yes
INV-0138,PRD-012,Copper Wire 100m,Raw Materials,WH-003,SUP-007,2024-11-22,491,387.22,190124.37,Outbound,3912,112,Yes
INV-0139,PRD-010,Rice Basmati 25kg,Perishables,WH-005,SUP-006,2024-11-08,123,116.81,14367.68,Adjustment,2525,432,Yes
INV-0140,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-001,SUP-003,2024-01-24,494,190.95,94331.1,Adjustment,1001,149,Yes
INV-0141,PRD-004,Brake Pad Set,Automotive,WH-005,SUP-003,2024-07-17,242,317.68,76878.78,Adjustment,4861,480,Yes
INV-0142,PRD-012,Copper Wire 100m,Raw Materials,WH-002,SUP-007,2024-12-01,60,432.29,25937.1,Adjustment,2341,116,Yes
INV-0143,PRD-012,Copper Wire 100m,Raw Materials,WH-003,SUP-004,2024-08-15,237,443.68,105151.95,Transfer,863,451,No
INV-0144,PRD-006,Sensor Module v2,Electronics,WH-005,SUP-006,2024-02-01,213,755.8,160984.74,Inbound,3775,146,Yes
INV-0145,PRD-011,PCB Assembly,Electronics,WH-002,SUP-001,2024-01-26,412,1081.72,445666.59,Outbound,4675,205,Yes
INV-0146,PRD-002,Steel Rod 10mm,Raw Materials,WH-005,SUP-004,2024-10-27,120,93.78,11253.29,Outbound,2741,496,Yes
INV-0147,PRD-003,Corrugated Box L,Packaging,WH-005,SUP-001,2024-05-21,449,13.75,6174.69,Outbound,4475,228,Yes
INV-0148,PRD-013,Stretch Film Roll,Packaging,WH-002,SUP-002,2024-12-04,453,58.92,26690.27,Inbound,2984,221,Yes
INV-0149,PRD-010,Rice Basmati 25kg,Perishables,WH-003,SUP-001,2024-03-30,145,100.44,14563.94,Adjustment,4359,158,Yes
INV-0150,PRD-012,Copper Wire 100m,Raw Materials,WH-001,SUP-008,2024-08-17,408,386.3,157609.91,Inbound,3752,357,Yes
INV-0151,PRD-004,Brake Pad Set,Automotive,WH-005,SUP-001,2024-12-03,276,312.13,86148.0,Inbound,548,345,No
INV-0152,PRD-014,Alternator 12V,Automotive,WH-004,SUP-007,2024-12-17,65,910.08,59155.51,Adjustment,652,141,Yes
INV-0153,PRD-006,Sensor Module v2,Electronics,WH-005,SUP-003,2024-02-03,74,755.63,55916.48,Transfer,3170,405,Yes
INV-0154,PRD-009,Engine Filter,Automotive,WH-003,SUP-008,2024-09-15,319,564.23,179988.7,Inbound,4566,469,Yes
INV-0155,PRD-014,Alternator 12V,Automotive,WH-002,SUP-007,2024-08-19,464,851.84,395253.68,Transfer,3765,304,Yes
INV-0156,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-001,SUP-006,2024-08-06,170,223.92,38066.09,Transfer,1300,451,No
INV-0157,PRD-015,Sugar 50kg,Perishables,WH-004,SUP-002,2024-02-16,435,119.77,52101.84,Adjustment,841,481,No
INV-0158,PRD-012,Copper Wire 100m,Raw Materials,WH-003,SUP-003,2024-10-11,40,408.18,16327.21,Transfer,1051,310,Yes
INV-0159,PRD-006,Sensor Module v2,Electronics,WH-004,SUP-001,2024-05-27,317,762.93,241848.03,Inbound,4784,359,Yes
INV-0160,PRD-004,Brake Pad Set,Automotive,WH-002,SUP-008,2024-04-24,443,296.66,131419.26,Transfer,991,490,No
INV-0161,PRD-005,Wheat Flour 50kg,Perishables,WH-005,SUP-004,2024-08-07,442,145.63,64370.14,Inbound,2240,114,Yes
INV-0162,PRD-003,Corrugated Box L,Packaging,WH-003,SUP-005,2024-06-22,189,10.82,2044.66,Outbound,4689,436,Yes
INV-0163,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-001,SUP-003,2024-11-20,25,193.82,4845.43,Outbound,3131,314,Yes
INV-0164,PRD-008,Bubble Wrap Roll,Packaging,WH-003,SUP-003,2024-07-08,169,48.62,8216.43,Inbound,480,179,No
INV-0165,PRD-003,Corrugated Box L,Packaging,WH-005,SUP-001,2024-12-11,51,11.62,592.43,Adjustment,4028,410,Yes
INV-0166,PRD-008,Bubble Wrap Roll,Packaging,WH-004,SUP-005,2024-04-20,396,46.26,18320.5,Transfer,3571,156,Yes
INV-0167,PRD-005,Wheat Flour 50kg,Perishables,WH-005,SUP-008,2024-09-26,351,136.79,48014.93,Outbound,3287,406,Yes
INV-0168,PRD-001,Microcontroller Board,Electronics,WH-001,SUP-004,2024-06-03,494,428.76,211809.33,Outbound,2143,248,Yes
INV-0169,PRD-006,Sensor Module v2,Electronics,WH-001,SUP-001,2024-09-11,392,785.98,308103.27,Outbound,3164,372,Yes
INV-0170,PRD-012,Copper Wire 100m,Raw Materials,WH-002,SUP-006,2024-02-06,213,435.02,92659.69,Inbound,3623,109,Yes
INV-0171,PRD-008,Bubble Wrap Roll,Packaging,WH-001,SUP-006,2024-10-21,229,46.95,10751.72,Adjustment,2421,158,Yes
INV-0172,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-001,SUP-006,2024-03-28,420,238.75,100274.9,Adjustment,3014,145,Yes
INV-0173,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-001,SUP-004,2024-08-11,311,210.02,65317.34,Inbound,3292,258,Yes
INV-0174,PRD-012,Copper Wire 100m,Raw Materials,WH-003,SUP-004,2024-06-19,408,367.39,149896.32,Inbound,4396,361,Yes
INV-0175,PRD-004,Brake Pad Set,Automotive,WH-003,SUP-006,2024-11-26,427,299.82,128021.08,Inbound,1249,231,Yes
INV-0176,PRD-004,Brake Pad Set,Automotive,WH-002,SUP-003,2024-12-01,48,302.17,14504.24,Adjustment,3850,486,Yes
INV-0177,PRD-010,Rice Basmati 25kg,Perishables,WH-005,SUP-008,2024-12-14,483,123.26,59532.8,Transfer,2639,177,Yes
INV-0178,PRD-008,Bubble Wrap Roll,Packaging,WH-001,SUP-008,2024-08-14,333,43.91,14620.94,Transfer,4894,128,Yes
INV-0179,PRD-006,Sensor Module v2,Electronics,WH-005,SUP-002,2024-06-07,246,790.12,194370.31,Inbound,3070,246,Yes
INV-0180,PRD-002,Steel Rod 10mm,Raw Materials,WH-001,SUP-007,2024-08-24,307,88.28,27101.72,Inbound,3734,392,Yes
INV-0181,PRD-011,PCB Assembly,Electronics,WH-002,SUP-006,2024-11-05,253,1127.88,285352.63,Inbound,3740,152,Yes
INV-0182,PRD-013,Stretch Film Roll,Packaging,WH-003,SUP-002,2024-09-15,340,61.3,20843.39,Outbound,3636,324,Yes
INV-0183,PRD-009,Engine Filter,Automotive,WH-005,SUP-003,2024-07-05,200,632.51,126502.23,Adjustment,3398,496,Yes
INV-0184,PRD-006,Sensor Module v2,Electronics,WH-005,SUP-001,2024-11-19,341,767.26,261634.51,Transfer,824,385,No
INV-0185,PRD-011,PCB Assembly,Electronics,WH-004,SUP-005,2024-05-09,380,1224.18,465188.67,Outbound,2780,141,Yes
INV-0186,PRD-010,Rice Basmati 25kg,Perishables,WH-002,SUP-006,2024-06-07,345,118.21,40781.83,Adjustment,1106,404,No
INV-0187,PRD-012,Copper Wire 100m,Raw Materials,WH-001,SUP-005,2024-10-13,202,413.74,83575.6,Transfer,1096,443,No
INV-0188,PRD-012,Copper Wire 100m,Raw Materials,WH-005,SUP-002,2024-11-26,353,392.28,138475.59,Transfer,199,285,No
INV-0189,PRD-005,Wheat Flour 50kg,Perishables,WH-002,SUP-004,2024-06-23,495,152.82,75643.66,Outbound,1905,170,Yes
INV-0190,PRD-003,Corrugated Box L,Packaging,WH-001,SUP-005,2024-02-21,269,13.11,3527.3,Inbound,2808,492,Yes
INV-0191,PRD-010,Rice Basmati 25kg,Perishables,WH-002,SUP-007,2024-03-19,93,103.97,9669.51,Outbound,3635,122,Yes
INV-0192,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-003,SUP-004,2024-08-15,322,203.96,65674.71,Adjustment,1966,373,Yes
INV-0193,PRD-004,Brake Pad Set,Automotive,WH-003,SUP-008,2024-04-09,198,342.26,67768.38,Adjustment,3832,493,Yes
INV-0194,PRD-005,Wheat Flour 50kg,Perishables,WH-004,SUP-007,2024-03-23,428,132.99,56919.47,Outbound,2098,126,Yes
INV-0195,PRD-011,PCB Assembly,Electronics,WH-004,SUP-006,2024-10-10,488,1018.21,496887.54,Inbound,2385,142,Yes
INV-0196,PRD-013,Stretch Film Roll,Packaging,WH-002,SUP-005,2024-08-18,473,66.84,31616.26,Adjustment,801,213,Yes
